date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,year
1956-09-23,Germany,Netherlands,2,1,Friendly,Essen,Germany,False,1956
1957-07-28,Germany,England,1,1,Friendly,Stuttgart,Germany,False,1957
1957-10-13,Germany,Netherlands,2,0,Friendly,Berlin,Germany,False,1957
1957-11-03,Netherlands,Austria,8,1,European Championship,Berlin,Germany,True,1957
1957-11-03,Germany,England,0,4,European Championship,Berlin,Germany,False,1957
1969-11-01,Italy,France,1,0,Euro,Novara,Italy,False,1969
1969-11-01,Denmark,England,4,3,Euro,Aosta,Italy,True,1969
1969-11-02,England,France,2,0,Euro,Turin,Italy,True,1969
1969-11-02,Italy,Denmark,3,1,Euro,Turin,Italy,False,1969
1970-07-06,England,Germany,5,1,World Cup,Genova,Italy,True,1970
1970-07-06,Mexico,Austria,9,0,World Cup,Bari,Italy,True,1970
1970-07-09,Denmark,Germany,6,1,World Cup,Bologna,Italy,True,1970
1970-07-09,Italy,Switzerland,2,1,World Cup,Salerno,Italy,False,1970
1970-07-10,Denmark,England,2,0,World Cup,Milan,Italy,True,1970
1970-07-11,Italy,Mexico,2,1,World Cup,Napoli,Italy,False,1970
1970-07-13,Mexico,England,3,2,World Cup,Torino,Italy,True,1970
1970-07-15,Italy,Denmark,0,2,World Cup,Torino,Italy,False,1970
1971-08-15,Mexico,Argentina,3,1,World Cup,Mexico City,Mexico,False,1971
1971-08-18,Denmark,France,3,0,World Cup,Guadalajara,Mexico,True,1971
1971-08-21,Argentina,England,4,1,World Cup,Mexico City,Mexico,True,1971
1971-08-21,France,Italy,0,1,World Cup,Guadalajara,Mexico,True,1971
1971-08-22,Mexico,England,4,0,World Cup,Mexico City,Mexico,False,1971
1971-08-22,Denmark,Italy,1,1,World Cup,Guadalajara,Mexico,True,1971
1971-08-28,Denmark,Argentina,5,0,World Cup,Mexico City,Mexico,True,1971
1971-08-28,England,France,2,3,World Cup,Guadalajara,Mexico,True,1971
1971-08-29,Mexico,Italy,2,1,World Cup,Mexico City,Mexico,False,1971
1971-09-04,Italy,Argentina,4,0,World Cup,Guadalajara,Mexico,True,1971
1971-09-05,Mexico,Denmark,0,3,World Cup,Mexico City,Mexico,False,1971
1972-11-18,Scotland,England,2,3,Friendly,Greenock,Scotland,False,1972
1973-01-01,Gibraltar,Jamaica,8,0,OFC Nations Cup,Kennedyside,Cape Verde,False,2022
1973-01-01,India,India,2,0,AFC Olympic Qualifying Tournament,North Spencerborough,United States,True,2024
1973-01-01,Wales,Uzbekistan,1,0,UEFA Euro qualification,South Tonya,Cyprus,False,2019
1973-01-02,Norway,Sweden,2,0,UEFA Euro qualification,Valdezstad,Portugal,False,2021
1973-01-02,Costa Rica,Thailand,1,0,Algarve Cup,Karenfurt,United States,False,2016
1973-01-03,South Africa,Ukraine,1,0,UEFA Euro qualification,Bradyfurt,Sweden,False,2015
1973-01-03,Norway,Albania,3,0,AFF Championship,Lucasstad,Wales,True,2017
1973-01-04,Italy,Myanmar,9,0,UEFA Euro qualification,Yuhaven,Belgium,False,2016
1973-01-04,Argentina,Sweden,1,11,Friendly,Lake Larry,China PR,False,2023
