date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,year
1956-09-23,Germany,Netherlands,2,1,Friendly,Essen,Germany,False,1956
1957-01-01,United States,Canada,1,1,UEFA Nations League,Jenkinsshire,Equatorial Guinea,True,2020
1957-01-02,Australia,England,1,0,FIFA World Cup qualification,Port Angela,Saudi Arabia,False,2024
1957-01-02,South Korea,Lesotho,2,2,FIFA World Cup,Wilkinsfort,Japan,True,2018
1957-01-03,Haiti,Kenya,1,3,FIFA World Cup qualification,Lake Jason,Tajikistan,False,2004
1957-01-04,Switzerland,Senegal,5,3,Asian Games,Whitakerport,Brazil,False,2023
1957-01-04,England,Ukraine,5,4,Olympic qualification,New Heatherhaven,Slovenia,True,2015
1957-01-04,Taiwan,Namibia,0,3,UEFA Euro qualification,Welchville,Liberia,True,2010
1957-01-05,France,Italy,2,5,Gold Cup India,Traceymouth,Sierra Leone,True,2012
1957-01-05,Tanzania,Haiti,5,1,FIFA World Cup,North Matthewland,Colombia,True,2010
1957-01-05,North Korea,Nepal,0,0,African Cup of Nations qualification,Moyerhaven,Hungary,False,2023
1957-01-06,Syria,Senegal,1,3,FIFA World Cup,Harpertown,Canada,True,2014
1957-01-08,São Tomé and Príncipe,Armenia,5,3,Baltic Cup,New Ann,Solomon Islands,True,2011
1957-01-08,Italy,South Korea,2,0,Olympic Games,Port Ian,Nicaragua,False,2012
1957-01-09,South Korea,Germany,1,1,SheBelieves Cup,Frederickstad,Slovenia,False,2007
1957-01-09,Indonesia,Sweden,1,9,African Championship qualification,New Michaelburgh,Austria,True,2022
1957-01-09,Italy,Nigeria,0,9,UEFA Olympic Qualifying Tournament,South Thomastown,Canada,True,2019
1957-01-09,North Korea,Greece,1,0,African Cup of Nations qualification,Annafort,Antigua and Barbuda,True,2021
1957-01-10,Italy,Senegal,3,0,AFC Olympic Qualifying Tournament,New Monicatown,Martinique,True,2020
1957-01-15,Czech Republic,Romania,2,4,CONCACAF Championship qualification,Edwardland,Botswana,False,2022
1957-01-15,American Samoa,Czech Republic,1,2,UEFA Euro qualification,Lake Jeffrey,Mexico,False,2021
1957-01-16,Malta,Antigua and Barbuda,0,0,Olympic qualifyication,Port Tammymouth,Germany,True,2019
1957-01-16,Moldova,Kosovo,1,1,African Cup of Nations qualification,Port Evanhaven,England,False,2011
1957-01-18,Uzbekistan,Sweden,1,2,WAFF Championship,Smithborough,United States,False,2022
1957-01-20,Laos,Japan,10,1,Turkish Women's Cup,Draketown,Norway,True,2010
1957-01-21,Latvia,Thailand,0,2,OFC Nations Cup qualification,Mayhaven,Spain,True,2017
1957-01-21,Philippines,Tahiti,3,9,African Cup of Nations,New Carolynburgh,Germany,True,2022
1957-01-21,Tonga,Mozambique,0,1,Peace Queen Cup,West Christinestad,Taiwan,True,2020
1957-01-21,Taiwan,Thailand,1,7,African Championship qualification,North Mason,France,False,2018
1957-01-21,Iran,Chad,0,9,SAFF Championship,Lake Mauricechester,Rwanda,True,2019
1957-01-22,Slovenia,Guinea-Bissau,0,1,SheBelieves Cup,South Crystal,Equatorial Guinea,False,2015
1957-01-23,Laos,New Zealand,3,0,FIFA World Cup qualification,Christopherfurt,France,False,2024
1957-01-24,Panama,Singapore,6,1,AFF Championship,West Catherinechester,Nigeria,False,2022
1957-01-24,United States,Aruba,0,1,Armenia International Friendly Tournament,Frederickstad,Cyprus,True,2019
1957-01-25,Saint Vincent and the Grenadines,Kyrgyzstan,0,0,AFC Olympic Qualifying Tournament,Lake Jennifer,Equatorial Guinea,False,2015
1957-01-25,United States,Zambia,1,0,FIFA World Cup qualification,North Spencerborough,Spain,False,2018
1957-01-25,Isle of Man,Hong Kong,0,2,FIFA World Cup qualification,New Brentstad,United States,True,2015
1957-01-25,Portugal,Mauritius,0,1,Central American Games,Crystalland,Germany,True,2015
1957-01-26,Ukraine,Isle of Man,5,3,AFC Asian Cup qualification,North Shane,New Caledonia,False,2022
1957-01-27,Dominican Republic,Philippines,0,7,UEFA Euro qualification,Davishaven,Australia,False,2022
1957-01-27,Samoa,Isle of Man,1,3,FIFA World Cup qualification,Port Sarah,Philippines,False,2019
1957-01-27,Australia,Germany,6,0,CECAFA Championship,New Tanyafort,Egypt,True,2015
1957-01-29,China PR,Iran,0,2,African Championship qualification,Thompsonfort,United States,True,2022
